ts	repeat	pod	cpu	mem
1777274914	1	postgres-0	4m	23Mi
1777274915	1	postgres-0	4m	23Mi
1777274916	1	postgres-0	4m	23Mi
1777274918	1	postgres-0	4m	23Mi
1777274919	1	postgres-0	4m	23Mi
1777274920	1	postgres-0	4m	23Mi
1777274921	1	postgres-0	4m	23Mi
1777274922	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274922	1	postgres-0	4m	23Mi
1777274923	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274923	1	postgres-0	4m	23Mi
1777274924	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274924	1	postgres-0	4m	23Mi
1777274925	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274925	1	postgres-0	4m	23Mi
1777274926	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274926	1	postgres-0	4m	23Mi
1777274927	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274927	1	postgres-0	4m	23Mi
1777274928	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274928	1	postgres-0	4m	23Mi
1777274929	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274929	1	postgres-0	4m	23Mi
1777274930	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274930	1	postgres-0	4m	23Mi
1777274931	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274931	1	postgres-0	4m	23Mi
1777274932	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274932	1	postgres-0	4m	23Mi
1777274933	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274933	1	postgres-0	4m	23Mi
1777274934	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274934	1	postgres-0	4m	23Mi
1777274935	1	mosquitto-987986c69-shm4p	37m	2Mi
1777274935	1	postgres-0	4m	23Mi
1777274936	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274936	1	postgres-0	4m	23Mi
1777274937	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274937	1	postgres-0	4m	23Mi
1777274939	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274939	1	postgres-0	4m	23Mi
1777274940	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274940	1	postgres-0	4m	23Mi
1777274941	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274941	1	postgres-0	4m	23Mi
1777274942	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274942	1	postgres-0	4m	23Mi
1777274943	1	mosquitto-987986c69-shm4p	68m	2Mi
1777274943	1	postgres-0	4m	23Mi
1777274959	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274959	2	postgres-0	4m	23Mi
1777274961	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274961	2	postgres-0	4m	23Mi
1777274962	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274962	2	postgres-0	4m	23Mi
1777274963	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274963	2	postgres-0	4m	23Mi
1777274964	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274964	2	postgres-0	4m	23Mi
1777274965	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274965	2	postgres-0	4m	23Mi
1777274966	2	mosquitto-987986c69-shm4p	66m	2Mi
1777274966	2	postgres-0	4m	23Mi
1777274967	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274967	2	postgres-0	5m	23Mi
1777274968	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274968	2	postgres-0	5m	23Mi
1777274969	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274969	2	postgres-0	5m	23Mi
1777274970	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274970	2	postgres-0	5m	23Mi
1777274971	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274971	2	postgres-0	5m	23Mi
1777274972	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274972	2	postgres-0	5m	23Mi
1777274973	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274973	2	postgres-0	5m	23Mi
1777274974	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274974	2	postgres-0	5m	23Mi
1777274975	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274975	2	postgres-0	5m	23Mi
1777274976	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274976	2	postgres-0	5m	23Mi
1777274977	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274977	2	postgres-0	5m	23Mi
1777274978	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274978	2	postgres-0	5m	23Mi
1777274980	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274980	2	postgres-0	5m	23Mi
1777274981	2	mosquitto-987986c69-shm4p	15m	2Mi
1777274981	2	postgres-0	5m	23Mi
1777274982	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274982	2	postgres-0	4m	23Mi
1777274983	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274983	2	postgres-0	4m	23Mi
1777274984	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274984	2	postgres-0	4m	23Mi
1777274985	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274985	2	postgres-0	4m	23Mi
1777274986	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274986	2	postgres-0	4m	23Mi
1777274987	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274987	2	postgres-0	4m	23Mi
1777274988	2	mosquitto-987986c69-shm4p	69m	2Mi
1777274988	2	postgres-0	4m	23Mi
1777275005	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275005	3	postgres-0	5m	23Mi
1777275006	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275006	3	postgres-0	5m	23Mi
1777275007	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275007	3	postgres-0	5m	23Mi
1777275008	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275008	3	postgres-0	5m	23Mi
1777275009	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275009	3	postgres-0	5m	23Mi
1777275010	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275010	3	postgres-0	5m	23Mi
1777275011	3	mosquitto-987986c69-shm4p	44m	2Mi
1777275011	3	postgres-0	5m	23Mi
1777275012	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275012	3	postgres-0	5m	23Mi
1777275013	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275013	3	postgres-0	5m	23Mi
1777275014	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275014	3	postgres-0	5m	23Mi
1777275015	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275015	3	postgres-0	5m	23Mi
1777275016	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275016	3	postgres-0	5m	23Mi
1777275017	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275017	3	postgres-0	5m	23Mi
1777275018	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275018	3	postgres-0	5m	23Mi
1777275019	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275019	3	postgres-0	5m	23Mi
1777275020	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275020	3	postgres-0	5m	23Mi
1777275021	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275021	3	postgres-0	5m	23Mi
1777275023	3	mosquitto-987986c69-shm4p	21m	2Mi
1777275023	3	postgres-0	5m	23Mi
1777275024	3	mosquitto-987986c69-shm4p	21m	2Mi
