ts	pod	phase	restarts	ready	reason	last_termination
1777275949	hermod-coordinator-6b6ff849ff-kzcws	Running	0	true	<none>	<none>
1777275949	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777275949	postgres-0	Running	0	true	<none>	<none>
1777275960	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	false	<none>	<none>
1777275960	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777275960	postgres-0	Running	0	true	<none>	<none>
1777275972	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	true	<none>	<none>
1777275972	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777275972	postgres-0	Running	0	true	<none>	<none>
1777275983	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	true	<none>	<none>
1777275983	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777275983	postgres-0	Running	0	true	<none>	<none>
1777275994	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	true	<none>	<none>
1777275994	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777275994	postgres-0	Running	0	true	<none>	<none>
1777276006	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	true	<none>	<none>
1777276006	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777276006	postgres-0	Running	0	true	<none>	<none>
1777276017	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	true	<none>	<none>
1777276017	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777276017	postgres-0	Running	0	true	<none>	<none>
1777276028	hermod-coordinator-7d7b88cc46-gpnsf	Running	0	true	<none>	<none>
1777276028	nanomq-7c49cc5d49-nhs58	Running	0	true	<none>	<none>
1777276028	postgres-0	Running	0	true	<none>	<none>
