ts	repeat	pod	cpu	mem
1777275991	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275991	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275991	1	postgres-0	107m	40Mi
1777275992	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275992	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275992	1	postgres-0	107m	40Mi
1777275993	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275993	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275993	1	postgres-0	107m	40Mi
1777275994	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275994	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275994	1	postgres-0	107m	40Mi
1777275995	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275995	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275995	1	postgres-0	107m	40Mi
1777275996	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275996	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275996	1	postgres-0	107m	40Mi
1777275997	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275997	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275997	1	postgres-0	107m	40Mi
1777275998	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275998	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275998	1	postgres-0	107m	40Mi
1777275999	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777275999	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777275999	1	postgres-0	107m	40Mi
1777276001	1	hermod-coordinator-7d7b88cc46-gpnsf	166m	45Mi
1777276001	1	nanomq-7c49cc5d49-nhs58	1m	1Mi
1777276001	1	postgres-0	107m	40Mi
1777276002	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276002	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276002	1	postgres-0	22m	42Mi
1777276003	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276003	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276003	1	postgres-0	22m	42Mi
1777276004	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276004	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276004	1	postgres-0	22m	42Mi
1777276005	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276005	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276005	1	postgres-0	22m	42Mi
1777276006	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276006	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276006	1	postgres-0	22m	42Mi
1777276007	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276007	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276007	1	postgres-0	22m	42Mi
1777276008	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276008	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276008	1	postgres-0	22m	42Mi
1777276009	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276009	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276009	1	postgres-0	22m	42Mi
1777276010	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276010	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276010	1	postgres-0	22m	42Mi
1777276011	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276011	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276011	1	postgres-0	22m	42Mi
1777276012	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276012	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276012	1	postgres-0	22m	42Mi
1777276013	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276013	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276013	1	postgres-0	22m	42Mi
1777276014	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276014	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276014	1	postgres-0	22m	42Mi
1777276015	1	hermod-coordinator-7d7b88cc46-gpnsf	612m	94Mi
1777276015	1	nanomq-7c49cc5d49-nhs58	58m	1Mi
1777276015	1	postgres-0	22m	42Mi
1777276016	1	hermod-coordinator-7d7b88cc46-gpnsf	524m	134Mi
1777276016	1	nanomq-7c49cc5d49-nhs58	244m	1Mi
1777276016	1	postgres-0	114m	55Mi
1777276017	1	hermod-coordinator-7d7b88cc46-gpnsf	524m	134Mi
1777276017	1	nanomq-7c49cc5d49-nhs58	244m	1Mi
1777276017	1	postgres-0	114m	55Mi
1777276018	1	hermod-coordinator-7d7b88cc46-gpnsf	524m	134Mi
1777276018	1	nanomq-7c49cc5d49-nhs58	244m	1Mi
1777276018	1	postgres-0	114m	55Mi
1777276020	1	hermod-coordinator-7d7b88cc46-gpnsf	524m	134Mi
1777276020	1	nanomq-7c49cc5d49-nhs58	244m	1Mi
1777276020	1	postgres-0	114m	55Mi
