ts	repeat	pod	cpu	mem
1777276092	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276092	1	postgres-0	157m	21Mi
1777276093	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276093	1	postgres-0	157m	21Mi
1777276094	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276094	1	postgres-0	157m	21Mi
1777276095	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276095	1	postgres-0	157m	21Mi
1777276096	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276096	1	postgres-0	157m	21Mi
1777276097	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276097	1	postgres-0	157m	21Mi
1777276098	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276098	1	postgres-0	157m	21Mi
1777276099	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276099	1	postgres-0	157m	21Mi
1777276100	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276100	1	postgres-0	157m	21Mi
1777276101	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276101	1	postgres-0	157m	21Mi
1777276102	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276102	1	postgres-0	157m	21Mi
1777276103	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276103	1	postgres-0	157m	21Mi
1777276104	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276104	1	postgres-0	157m	21Mi
1777276105	1	mosquitto-f6dbbb66f-wjnhx	3m	2Mi
1777276105	1	postgres-0	157m	21Mi
1777276107	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276107	1	postgres-0	4m	21Mi
1777276108	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276108	1	postgres-0	4m	21Mi
1777276109	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276109	1	postgres-0	4m	21Mi
1777276110	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276110	1	postgres-0	4m	21Mi
1777276111	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276111	1	postgres-0	4m	21Mi
1777276112	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276112	1	postgres-0	4m	21Mi
1777276113	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276113	1	postgres-0	4m	21Mi
1777276114	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276114	1	postgres-0	4m	21Mi
1777276115	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276115	1	postgres-0	4m	21Mi
1777276116	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276116	1	postgres-0	4m	21Mi
1777276117	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276117	1	postgres-0	4m	21Mi
1777276118	1	mosquitto-f6dbbb66f-wjnhx	4m	2Mi
1777276118	1	postgres-0	4m	21Mi
