ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777276393	0.97	1.18	1.22	1655	6281	16	15370431806	2383040205
1777276400	1.13	1.21	1.23	1585	6351	16	15370497366	2383350868
1777276405	1.04	1.19	1.22	1664	6273	16	15370585924	2383724973
1777276411	1.36	1.25	1.24	1672	6264	16	15371296569	2385392958
1777276417	1.53	1.29	1.26	1681	6255	16	15371754344	2386521969
1777276422	1.40	1.27	1.25	1699	6237	16	15371827934	2386857178
1777276428	1.29	1.25	1.24	1700	6236	16	15371926340	2387243151
1777276434	1.35	1.26	1.25	1718	6219	16	15372287822	2387729692
1777276440	2.52	1.51	1.33	1716	6221	16	15372687833	2388252359
1777276445	2.40	1.50	1.33	1738	6199	16	15373050817	2388738643
1777276451	2.21	1.47	1.32	1755	6181	16	15373445177	2389226400
1777276456	2.83	1.62	1.37	1756	6180	16	15373810185	2389713200
1777276462	2.68	1.61	1.37	1756	6180	16	15373972572	2390094291
1777276468	2.47	1.59	1.36	1772	6164	16	15374037998	2390395240
1777276474	2.27	1.56	1.35	1749	6187	16	15374103683	2390696364
1777276480	2.09	1.53	1.34	1752	6185	16	15374206528	2391075291
1777276485	2.48	1.62	1.37	1760	6176	16	15374574923	2391561988
1777276491	2.76	1.70	1.40	1765	6171	16	15374968712	2392084498
1777276496	2.49	1.67	1.39	1768	6168	16	15375341817	2392571538
1777276502	2.29	1.65	1.39	1765	6171	16	15375731634	2393059316
1777276508	2.19	1.63	1.38	1761	6176	16	15376102388	2393581309
1777276514	2.01	1.61	1.38	1758	6178	16	15376248852	2393927005
1777276519	2.01	1.61	1.38	1763	6173	16	15376314699	2394228050
1777276525	1.85	1.59	1.37	1767	6169	16	15376380388	2394529174
1777276530	1.70	1.56	1.36	1788	6148	16	15376496472	2394935677
1777276537	1.81	1.59	1.38	1775	6161	16	15376881842	2395476629
1777276542	1.75	1.58	1.37	1775	6162	16	15377264833	2395964388
1777276548	1.69	1.57	1.37	1772	6165	16	15377640591	2396451564
1777276554	1.55	1.54	1.36	1770	6166	16	15378029205	2396973662
1777276559	1.51	1.54	1.36	1777	6159	16	15378406905	2397460943
1777276565	1.39	1.51	1.35	1781	6156	16	15378536696	2397840762
1777276571	1.28	1.48	1.35	1783	6153	16	15378602024	2398141756
1777276576	1.38	1.50	1.35	1773	6164	16	15378667977	2398443057
