ts	pod	phase	restarts	ready	reason	last_termination
1777276394	hermod-coordinator-6b6ff849ff-kzqf5	Running	0	true	<none>	<none>
1777276394	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276394	postgres-0	Running	0	true	<none>	<none>
1777276394	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276400	hermod-coordinator-7d7b88cc46-hnhsd	Pending	0	false	PodInitializing	<none>
1777276400	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276400	postgres-0	Running	0	true	<none>	<none>
1777276400	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276406	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276406	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276406	postgres-0	Running	0	true	<none>	<none>
1777276406	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276411	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276411	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276411	postgres-0	Running	0	true	<none>	<none>
1777276411	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276417	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276417	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276417	postgres-0	Running	0	true	<none>	<none>
1777276417	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276423	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276423	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276423	postgres-0	Running	0	true	<none>	<none>
1777276423	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276429	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276429	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276429	postgres-0	Running	0	true	<none>	<none>
1777276429	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276434	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276434	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276434	postgres-0	Running	0	true	<none>	<none>
1777276434	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276440	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276440	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276440	postgres-0	Running	0	true	<none>	<none>
1777276440	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276445	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276445	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276445	postgres-0	Running	0	true	<none>	<none>
1777276445	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276451	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276451	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276451	postgres-0	Running	0	true	<none>	<none>
1777276451	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276457	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276457	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276457	postgres-0	Running	0	true	<none>	<none>
1777276457	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276463	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
1777276463	nanomq-756fd88db6-7k858	Running	0	true	<none>	<none>
1777276463	postgres-0	Running	0	true	<none>	<none>
1777276463	zigbee2mqtt-6b85d5787-hfqp6	Running	0	true	<none>	<none>
1777276469	hermod-coordinator-7d7b88cc46-hnhsd	Running	0	true	<none>	<none>
