ts	repeat	pod	cpu	mem
1777276428	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276428	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276428	1	postgres-0	73m	30Mi
1777276428	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276429	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276429	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276429	1	postgres-0	73m	30Mi
1777276429	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276430	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276430	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276430	1	postgres-0	73m	30Mi
1777276430	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276431	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276431	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276431	1	postgres-0	73m	30Mi
1777276431	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276433	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276433	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276433	1	postgres-0	73m	30Mi
1777276433	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276434	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276434	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276434	1	postgres-0	73m	30Mi
1777276434	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276435	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276435	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276435	1	postgres-0	73m	30Mi
1777276435	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276436	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276436	1	nanomq-756fd88db6-7k858	1m	1Mi
1777276436	1	postgres-0	73m	30Mi
1777276436	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276437	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276437	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276437	1	postgres-0	73m	30Mi
1777276437	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276438	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276438	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276438	1	postgres-0	73m	30Mi
1777276438	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276439	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276439	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276439	1	postgres-0	73m	30Mi
1777276439	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276440	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276440	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276440	1	postgres-0	73m	30Mi
1777276440	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276441	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276441	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276441	1	postgres-0	73m	30Mi
1777276441	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276442	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276442	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276442	1	postgres-0	73m	30Mi
1777276442	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276443	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276443	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276443	1	postgres-0	73m	30Mi
1777276443	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276444	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276444	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276444	1	postgres-0	73m	30Mi
1777276444	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276445	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276445	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276445	1	postgres-0	73m	30Mi
1777276445	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276446	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276446	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276446	1	postgres-0	73m	30Mi
1777276446	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276447	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276447	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276447	1	postgres-0	73m	30Mi
1777276447	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276448	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276448	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276448	1	postgres-0	73m	30Mi
1777276448	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276449	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
1777276449	1	nanomq-756fd88db6-7k858	19m	1Mi
1777276449	1	postgres-0	73m	30Mi
1777276449	1	zigbee2mqtt-6b85d5787-hfqp6	3m	58Mi
1777276451	1	hermod-coordinator-7d7b88cc46-hnhsd	943m	88Mi
