ts	repeat	pod	cpu	mem
1777276615	1	hermod-coordinator-79b86d4b87-cmsl9	846m	88Mi
1777276615	1	nanomq-74ffdc557f-lvd8p	2m	1Mi
1777276615	1	postgres-0	16m	47Mi
1777276615	1	zigbee2mqtt-586d6b9894-9t2bh	43m	57Mi
1777276616	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276616	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276616	1	postgres-0	82m	48Mi
1777276616	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276617	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276617	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276617	1	postgres-0	82m	48Mi
1777276617	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276619	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276619	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276619	1	postgres-0	82m	48Mi
1777276619	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276620	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276620	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276620	1	postgres-0	82m	48Mi
1777276620	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276621	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276621	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276621	1	postgres-0	82m	48Mi
1777276621	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276622	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276622	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276622	1	postgres-0	82m	48Mi
1777276622	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276623	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276623	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276623	1	postgres-0	82m	48Mi
1777276623	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276624	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
1777276624	1	nanomq-74ffdc557f-lvd8p	1m	1Mi
1777276624	1	postgres-0	82m	48Mi
1777276624	1	zigbee2mqtt-586d6b9894-9t2bh	2m	57Mi
1777276625	1	hermod-coordinator-79b86d4b87-cmsl9	583m	96Mi
