ts	load1	load5	load15	mem_used_mib	mem_avail_mib	disk_used_pct	net_rx_mb	net_tx_mb
1777276732	1.59	1.65	1.44	1566	6370	16	15382333566	2408643656
1777276744	1.42	1.61	1.43	1616	6321	16	15382435336	2409024660
1777276755	1.20	1.55	1.41	1657	6280	16	15383092395	2410659953
1777276767	1.68	1.65	1.45	1689	6247	16	15383696228	2412150512
1777276779	1.89	1.70	1.47	1694	6242	16	15384097773	2412847990
1777276790	1.76	1.68	1.46	1723	6213	16	15384873474	2413721785
1777276802	1.98	1.74	1.48	1752	6185	16	15385616854	2414559174
1777276814	2.13	1.78	1.50	1746	6190	16	15385804605	2415068741
1777276825	1.80	1.72	1.48	1746	6191	16	15385935216	2415584499
1777276837	1.54	1.67	1.47	1749	6187	16	15386687195	2416457756
1777276848	1.62	1.68	1.47	1741	6195	16	15387432567	2417294590
1777276860	1.45	1.64	1.46	1765	6171	16	15387942231	2418026414
1777276871	1.22	1.59	1.45	1746	6190	16	15388044851	2418456741
1777276883	1.02	1.52	1.43	1747	6189	16	15388486023	2419150288
1777276894	1.02	1.51	1.42	1755	6181	16	15389228131	2419987253
1777276906	0.94	1.47	1.41	1769	6168	16	15389971333	2420824361
1777276918	1.16	1.50	1.42	1769	6167	16	15390137845	2421298220
