ts	pod	phase	restarts	ready	reason	last_termination
1777276732	hermod-coordinator-6b6ff849ff-7k6lf	Running	0	true	<none>	<none>
1777276732	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276732	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276732	postgres-0	Running	0	true	<none>	<none>
1777276744	hermod-coordinator-7d7b88cc46-x568z	Running	0	false	<none>	<none>
1777276744	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276744	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276744	postgres-0	Running	0	true	<none>	<none>
1777276756	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276756	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276756	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276756	postgres-0	Running	0	true	<none>	<none>
1777276768	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276768	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276768	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276768	postgres-0	Running	0	true	<none>	<none>
1777276779	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276779	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276779	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276779	postgres-0	Running	0	true	<none>	<none>
1777276791	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276791	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276791	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276791	postgres-0	Running	0	true	<none>	<none>
1777276803	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276803	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276803	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276803	postgres-0	Running	0	true	<none>	<none>
1777276814	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276814	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276814	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276814	postgres-0	Running	0	true	<none>	<none>
1777276826	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276826	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276826	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276826	postgres-0	Running	0	true	<none>	<none>
1777276837	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276837	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276837	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276837	postgres-0	Running	0	true	<none>	<none>
1777276849	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276849	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276849	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276849	postgres-0	Running	0	true	<none>	<none>
1777276860	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276860	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276860	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276860	postgres-0	Running	0	true	<none>	<none>
1777276872	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276872	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276872	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276872	postgres-0	Running	0	true	<none>	<none>
1777276883	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276883	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276883	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276883	postgres-0	Running	0	true	<none>	<none>
1777276895	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276895	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276895	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276895	postgres-0	Running	0	true	<none>	<none>
1777276906	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276906	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276906	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276906	postgres-0	Running	0	true	<none>	<none>
1777276918	hermod-coordinator-7d7b88cc46-x568z	Running	0	true	<none>	<none>
1777276918	lora2mqtt-75b64546f8-vcg2h	Running	2	true	<none>	Error
1777276918	nanomq-756fd88db6-gswzb	Running	0	true	<none>	<none>
1777276918	postgres-0	Running	0	true	<none>	<none>
