ts	repeat	pod	cpu	mem
1777276774	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276774	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276774	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276774	1	postgres-0	9m	29Mi
1777276775	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276775	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276775	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276775	1	postgres-0	9m	29Mi
1777276776	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276776	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276776	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276776	1	postgres-0	9m	29Mi
1777276777	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276777	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276777	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276777	1	postgres-0	9m	29Mi
1777276778	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276778	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276778	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276778	1	postgres-0	9m	29Mi
1777276779	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276779	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276779	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276779	1	postgres-0	9m	29Mi
1777276780	1	hermod-coordinator-7d7b88cc46-x568z	1266m	75Mi
1777276780	1	lora2mqtt-75b64546f8-vcg2h	71m	37Mi
1777276780	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276780	1	postgres-0	9m	29Mi
1777276781	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276781	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276781	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276781	1	postgres-0	95m	32Mi
1777276782	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276782	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276782	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276782	1	postgres-0	95m	32Mi
1777276783	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276783	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276783	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276783	1	postgres-0	95m	32Mi
1777276784	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276784	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276784	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276784	1	postgres-0	95m	32Mi
1777276785	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276785	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276785	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276785	1	postgres-0	95m	32Mi
1777276787	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276787	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276787	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276787	1	postgres-0	95m	32Mi
1777276788	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276788	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276788	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276788	1	postgres-0	95m	32Mi
1777276789	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276789	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276789	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276789	1	postgres-0	95m	32Mi
1777276790	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276790	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276790	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276790	1	postgres-0	95m	32Mi
1777276791	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276791	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276791	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276791	1	postgres-0	95m	32Mi
1777276792	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276792	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276792	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276792	1	postgres-0	95m	32Mi
1777276793	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276793	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276793	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276793	1	postgres-0	95m	32Mi
1777276794	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276794	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276794	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276794	1	postgres-0	95m	32Mi
1777276795	1	hermod-coordinator-7d7b88cc46-x568z	406m	96Mi
1777276795	1	lora2mqtt-75b64546f8-vcg2h	68m	40Mi
1777276795	1	nanomq-756fd88db6-gswzb	1m	1Mi
1777276795	1	postgres-0	95m	32Mi
1777276796	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276796	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
1777276796	1	nanomq-756fd88db6-gswzb	72m	1Mi
1777276796	1	postgres-0	39m	35Mi
1777276797	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276797	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
1777276797	1	nanomq-756fd88db6-gswzb	72m	1Mi
1777276797	1	postgres-0	39m	35Mi
1777276798	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276798	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
1777276798	1	nanomq-756fd88db6-gswzb	72m	1Mi
1777276798	1	postgres-0	39m	35Mi
1777276799	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276799	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
1777276799	1	nanomq-756fd88db6-gswzb	72m	1Mi
1777276799	1	postgres-0	39m	35Mi
1777276800	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276800	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
1777276800	1	nanomq-756fd88db6-gswzb	72m	1Mi
1777276800	1	postgres-0	39m	35Mi
1777276801	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276801	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
1777276801	1	nanomq-756fd88db6-gswzb	72m	1Mi
1777276801	1	postgres-0	39m	35Mi
1777276802	1	hermod-coordinator-7d7b88cc46-x568z	320m	123Mi
1777276802	1	lora2mqtt-75b64546f8-vcg2h	42m	41Mi
