ts	pod	phase	restarts	ready	reason	last_termination
1777276944	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777276944	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777276944	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777276944	postgres-0	Running	0	true	<none>	<none>
1777276956	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777276956	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777276956	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777276956	postgres-0	Running	0	true	<none>	<none>
1777276967	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777276967	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777276967	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777276967	postgres-0	Running	0	true	<none>	<none>
1777276979	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777276979	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777276979	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777276979	postgres-0	Running	0	true	<none>	<none>
1777276990	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777276990	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777276990	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777276990	postgres-0	Running	0	true	<none>	<none>
1777277002	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777277002	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777277002	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777277002	postgres-0	Running	0	true	<none>	<none>
1777277014	hermod-coordinator-5cb9c6f7f6-qljc8	Running	0	true	<none>	<none>
1777277014	lora2mqtt-6d4f4bcdb8-dkpj2	Running	1	true	<none>	Error
1777277014	nanomq-798f695b7b-bfm4n	Running	0	true	<none>	<none>
1777277014	postgres-0	Running	0	true	<none>	<none>
