ts	repeat	pod	cpu	mem
1777276967	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276967	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276967	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276967	1	postgres-0	90m	48Mi
1777276968	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276968	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276968	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276968	1	postgres-0	90m	48Mi
1777276969	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276969	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276969	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276969	1	postgres-0	90m	48Mi
1777276970	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276970	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276970	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276970	1	postgres-0	90m	48Mi
1777276971	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276971	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276971	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276971	1	postgres-0	90m	48Mi
1777276972	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276972	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276972	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276972	1	postgres-0	90m	48Mi
1777276973	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276973	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276973	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276973	1	postgres-0	90m	48Mi
1777276974	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276974	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276974	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276974	1	postgres-0	90m	48Mi
1777276975	1	hermod-coordinator-5cb9c6f7f6-qljc8	1073m	81Mi
1777276975	1	lora2mqtt-6d4f4bcdb8-dkpj2	168m	33Mi
1777276975	1	nanomq-798f695b7b-bfm4n	1m	1Mi
1777276975	1	postgres-0	90m	48Mi
1777276976	1	hermod-coordinator-5cb9c6f7f6-qljc8	468m	95Mi
1777276976	1	lora2mqtt-6d4f4bcdb8-dkpj2	60m	40Mi
1777276976	1	nanomq-798f695b7b-bfm4n	17m	1Mi
1777276976	1	postgres-0	15m	48Mi
1777276977	1	hermod-coordinator-5cb9c6f7f6-qljc8	468m	95Mi
1777276977	1	lora2mqtt-6d4f4bcdb8-dkpj2	60m	40Mi
1777276977	1	nanomq-798f695b7b-bfm4n	17m	1Mi
1777276977	1	postgres-0	15m	48Mi
1777276978	1	hermod-coordinator-5cb9c6f7f6-qljc8	468m	95Mi
1777276978	1	lora2mqtt-6d4f4bcdb8-dkpj2	60m	40Mi
1777276978	1	nanomq-798f695b7b-bfm4n	17m	1Mi
1777276978	1	postgres-0	15m	48Mi
1777276979	1	hermod-coordinator-5cb9c6f7f6-qljc8	468m	95Mi
1777276979	1	lora2mqtt-6d4f4bcdb8-dkpj2	60m	40Mi
1777276979	1	nanomq-798f695b7b-bfm4n	17m	1Mi
1777276979	1	postgres-0	15m	48Mi
1777276980	1	hermod-coordinator-5cb9c6f7f6-qljc8	468m	95Mi
1777276980	1	lora2mqtt-6d4f4bcdb8-dkpj2	60m	40Mi
1777276980	1	nanomq-798f695b7b-bfm4n	17m	1Mi
1777276980	1	postgres-0	15m	48Mi
1777276981	1	hermod-coordinator-5cb9c6f7f6-qljc8	468m	95Mi
1777276981	1	lora2mqtt-6d4f4bcdb8-dkpj2	60m	40Mi
