ts	repeat	pod	cpu	mem
1777277238	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277238	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277238	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277238	1	postgres-0	133m	32Mi
1777277239	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277239	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277239	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277239	1	postgres-0	133m	32Mi
1777277240	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277240	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277240	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277240	1	postgres-0	133m	32Mi
1777277241	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277241	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277241	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277241	1	postgres-0	133m	32Mi
1777277242	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277242	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277242	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277242	1	postgres-0	133m	32Mi
1777277243	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277243	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277243	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277243	1	postgres-0	133m	32Mi
1777277244	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277244	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277244	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277244	1	postgres-0	133m	32Mi
1777277245	1	hermod-coordinator-7d7b88cc46-qpqzt	809m	96Mi
1777277245	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277245	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277245	1	postgres-0	133m	32Mi
1777277246	1	hermod-coordinator-7d7b88cc46-qpqzt	240m	104Mi
1777277246	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277246	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277246	1	postgres-0	23m	34Mi
1777277247	1	hermod-coordinator-7d7b88cc46-qpqzt	240m	104Mi
1777277247	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277247	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277247	1	postgres-0	23m	34Mi
1777277248	1	hermod-coordinator-7d7b88cc46-qpqzt	240m	104Mi
1777277248	1	nanomq-756fd88db6-g8kl4	1m	1Mi
1777277248	1	omg-ble-5658ff48b9-f9dtx	1m	43Mi
1777277248	1	postgres-0	23m	34Mi
